AF226685_Brazil_1990,AF226685
AF226686_FrenchGuiana_1989,AF226686
AF311956_Brazil_1997,AF311956
AF425615_Myanmar_1976,AF425615
AF425617_Colombia_1996,AF425617
AF425625_Nigeria_1968,AF425625
AF425626_Peru_1991,AF425626
AF425639_Trinidad_1986,AF425639
AF514876_Argentina_2000,AF514876
AF514878_Paraguay_1988,AF514878
AF514889_Argentina_2000,AF514889
AY153755_Costarica_1993,AY153755
AY713473_Myanmar_1971,AY713473
AY722803_Myanmar_1998,AY722803
AY732476_Thailand_1980,AY732476
AY762084_Singapore_1993,AY762084
DQ285559_Reunion_2004,DQ285559
DQ285562_Comoros_1993,DQ285562
EF654104_Korea_2001,EF654104
EU081258_Singapore_2005,EU081258
EU179860_Brunei_2005,EU179860
EU448413_India_2006,EU448413
FJ384655_Brazil_1993,FJ384655
FJ410186_PuertoRico_1992,FJ410186
FJ410188_PuertoRico_1996,FJ410188
FJ547086_PuertoRico_1995,FJ547086
FJ562106_PuertoRico_1986,FJ562106
FJ639735_Venezuela_1997,FJ639735
FJ639797_Venezuela_2004,FJ639797
FJ639823_Venezuela_2006,FJ639823
FJ687475_Korea_2008,FJ687475
FJ850070_Brazil_2000,FJ850070
FJ850077_Brazil_2003,FJ850077
FJ850087_Brazil_2006,FJ850087
GQ357690_Singapore_2007,GQ357690
GQ357692_Singapore_2008,GQ357692
GQ868561_Colombia_1999,GQ868561
GQ868601_Br.Virginisland_1985,GQ868601
GU056033_Venezuela_1998,GU056033
GU131960_Mexico_1997,GU131960
JF297571_India_1962,JF297571
JF297573_India_1962,JF297573
JF297575_India_1963,JF297575
JF297576_India_1963,JF297576
JF297578_India_1971,JF297578
JF297579_India_1971,JF297579
JF297580_India_1982,JF297580
JF297582_India_2005,JF297582
JF297583_India_2007,JF297583
JF967814_India_2008,JF967814
JF967932_India_2010,JF967932
JN036371_Bangladesh_2009,JN036371
JN415486_India_2010,JN415486
JN415507_India_2008,JN415507
JN415524_Srilanka_2004,JN415524
JN903578_India_2007,JN903578
JN903579_India_2008,JN903579
JN903581_India_2009,JN903581
JQ692085_India_2010,JQ692085
JQ917404_India_2009,JQ917404
KF289072_India_2011,KF289072
KF289073_India_1956,KF289073
