taxon_id,geography,date
A/ARGENTINA/10/2001,SouthAmerica,2001.479
A/ARGENTINA/13/2001,SouthAmerica,2001.471
A/ARGENTINA/25/2001,SouthAmerica,2001.49
A/ARGENTINA/3758/2001,SouthAmerica,2001.66
A/ARGENTINA/3759/2001,SouthAmerica,2001.658
A/ARGENTINA/44/2001,SouthAmerica,2001.49
A/ARGENTINA/5/2001,SouthAmerica,2001.427
A/ARGENTINA/5995/2000,SouthAmerica,2000.756
A/ARGENTINA/mc5/2001,SouthAmerica,2001.449
A/Alabama/WRAIR1242P/2009,USACanada,2009.085
A/Alaska/02/2010,USACanada,2010.553
A/Albania/250/2009,Europe,2009.153
A/Alexandroupolis/118/2005,Europe,2005.181
A/Alexandroupolis/16/2005,Europe,2005.071
A/Alexandroupolis/99/2007,Europe,2007.123
A/Andaman/071559/021107,India,2007.836
A/Aragon/RR-3438/2008,Europe,2008.995
A/Argentina/01/2010,SouthAmerica,2010.986
A/Argentina/117/2007,SouthAmerica,2007.422
A/Argentina/146/2007,SouthAmerica,2007.427
A/Argentina/27724/2010,SouthAmerica,2010.641
A/Argentina/27891/2010,SouthAmerica,2010.704
A/Argentina/28342/2010,SouthAmerica,2010.893
A/Argentina/28367/2010,SouthAmerica,2010.893
A/Argentina/28370/2010,SouthAmerica,2010.893
A/Argentina/28378/2010,SouthAmerica,2010.912
A/Argentina/28379/2010,SouthAmerica,2010.912
A/Argentina/3689/2007,SouthAmerica,2007.216
A/Argentina/3726/2007,SouthAmerica,2007.329
A/Argentina/3743/2007,SouthAmerica,2007.444
A/Argentina/3888/2007,SouthAmerica,2007.521
A/Argentina/389/2007,SouthAmerica,2007.447
A/Argentina/405/2007,SouthAmerica,2007.482
A/Argentina/445/2007,SouthAmerica,2007.444
A/Argentina/449/2007,SouthAmerica,2007.444
A/Argentina/7646/2009,SouthAmerica,2009.482
A/Argentina/8409/2010,SouthAmerica,2010.912
A/Ashburton/280/2004,Oceania,2004.781
A/Auckland/17/2008,Oceania,2008.438
A/Auckland/599/2000,Oceania,2000.726
A/Auckland/602/2001,Oceania,2001.63
A/Auckland/603/2001,Oceania,2001.751
A/Auckland/611/2002,Oceania,2002.688
A/Australia/2/2009,Oceania,2009.537
A/Australia/22/2009,Oceania,2009.551
A/Australia/30/2009,Oceania,2009.556
A/Australia/34/2009,Oceania,2009.559
A/Australia/NHRC0012/2005,Oceania,2005.447
A/Austria/134855/2004,Europe,2004.003
A/Austria/138112/2004,Europe,2004.058
A/Austria/138263/2004,Europe,2004.068
A/Austria/138808/2004,Europe,2004.071
A/Austria/141367/2004,Europe,2004.11
A/Austria/211557/2005,Europe,2005.162
A/Austria/76036/2003,Europe,2003.115
A/Austria/76165/2003,Europe,2003.121
A/Austria/76359/2003,Europe,2003.118
A/Austria/79477/2003,Europe,2003.17
A/Austria/79798/2003,Europe,2003.173
A/BANGKOK/109/2002,SoutheastAsia,2002.227
A/BANGKOK/115/2001,SoutheastAsia,2001.23
A/BANGKOK/178/2000,SoutheastAsia,2000.238
A/BANGKOK/190/2002,SoutheastAsia,2002.496
A/BANGKOK/202/2000,SoutheastAsia,2000.334
A/BANGKOK/224/2001,SoutheastAsia,2001.444
A/BANGKOK/226/2001,SoutheastAsia,2001.441
A/BANGKOK/27/2000,SoutheastAsia,2000.044
A/BANGKOK/28/2001,SoutheastAsia,2001.077
A/BANGKOK/328/2001,SoutheastAsia,2001.526
A/BANGKOK/480/2001,SoutheastAsia,2001.671
A/BANGKOK/504/2001,SoutheastAsia,2001.712
A/BANGKOK/62/2000,SoutheastAsia,2000.085
A/BANGKOK/86/2001,SoutheastAsia,2001.173
A/BEIJING/114/2001,NorthChina,2001.948
A/BEIJING/144/2001,NorthChina,2001.912
A/BEIJING/157/2001,NorthChina,2001.885
A/BEIJING/159/2001,NorthChina,2001.912
A/BEIJING/161/2001,NorthChina,2001.912
A/BEIJING/188/2001,NorthChina,2001.948
A/BRAZIL/10/2000,SouthAmerica,2000.562
A/BRAZIL/18a/2000,SouthAmerica,2000.534
A/BRAZIL/2030/2002,SouthAmerica,2002.537
A/BRAZIL/2c/2000,SouthAmerica,2000.51
A/BRAZIL/4b/2000,SouthAmerica,2000.512
A/BRAZIL/5/2002,SouthAmerica,2002.866
A/BRAZIL/694/2000,SouthAmerica,2000.279
A/BRAZIL/718/2000,SouthAmerica,2000.296
A/BRAZIL/822/2001,SouthAmerica,2001.482
A/BRAZIL/991/2000,SouthAmerica,2000.447
A/BRISBANE/100/2009,Oceania,2009.521
A/BRISBANE/122/2010,Oceania,2010.638
A/BRISBANE/219/2010,Oceania,2010.66
A/BRISBANE/258/2010,Oceania,2010.748
A/BRISBANE/262/2010,Oceania,2010.726
A/BRISBANE/3/2000,Oceania,2000.132
A/BULGARIA/113/2000,Europe,2000.082
A/BULGARIA/28/2001,Europe,2001.038
A/BULGARIA/874/2000,Europe,2000.082
A/Bahia/100/2011,SouthAmerica,2011.225
A/Bahia/44/2011,SouthAmerica,2011.047
A/Bahia/45/2011,SouthAmerica,2011.052
A/Bahia/65/2011,SouthAmerica,2011.11
A/Bahia/97/2011,SouthAmerica,2011.518
A/Bahia/98/2011,SouthAmerica,2011.282
