taxon_id,geography,date
AICHI/23/2010,JapanKorea,2010.879
ANHUI-YAOHAI/138/2010,NorthChina,2010.036
AZ-PV10343008,USACanada,2010.937
B/AKITA/2/2008,JapanKorea,2008.901
B/ANHUI/521/2005,NorthChina,2005.222
B/AREQUIPA/FLA0145/2008,SouthAmerica,2008
B/ARGENTINA/13/2008,SouthAmerica,2008.496
B/ARGENTINA/135/2001,SouthAmerica,2001.595
B/ARGENTINA/206/2008,SouthAmerica,2008.479
B/ARGENTINA/247/2008,SouthAmerica,2008.507
B/ARGENTINA/25/2008,SouthAmerica,2008.548
B/ARGENTINA/3731/2001,SouthAmerica,2001.608
B/ARGENTINA/3733/2001,SouthAmerica,2001.622
B/ARGENTINA/3740/2001,SouthAmerica,2001.636
B/ARGENTINA/622/2006,SouthAmerica,2006.792
B/ARGENTINA/69/2001,SouthAmerica,2001
B/ARGENTINA/72/2008,SouthAmerica,2008.447
B/ARIZONA/5/2000,USACanada,2000.271
B/AUCKLAND/1/2007,Oceania,2007.37
B/Aichi/186/2005,JapanKorea,2005.315
B/Alabama/1/2006,USACanada,2006.238
B/Alabama/2910/2012,USACanada,2012.263
B/Alabama/4/2006,USACanada,2006.715
B/Alaska/01/2010,USACanada,2010.937
B/Alaska/03/2008,USACanada,2008.764
B/Alaska/05/2008,USACanada,2008.89
B/Alaska/16/2000,USACanada,2000.893
B/Alaska/2/2004,USACanada,2004.164
B/Argentina/132/2001,SouthAmerica,2001.597
B/Arizona/03/2010,USACanada,2010.904
B/Arizona/1/2005,USACanada,2005.011
B/Arizona/14/2001,USACanada,2001.282
B/Arizona/2/2005,USACanada,2005.047
B/Arizona/3/2006,USACanada,2006.326
B/Arizona/4/2002,USACanada,2002.142
B/Arizona/7/2000,USACanada,2000.438
B/Auckland/01/2000,Oceania,2000.353
B/Auckland/1/2004,Oceania,2004.611
B/Auckland/32/2005,Oceania,2005.408
B/BANGKOK/282/2001,SoutheastAsia,2001.499
B/BANGKOK/460/03,SoutheastAsia,2003
B/BANGLADESH/0444/2007,India,2007.482
B/BANGLADESH/1164777/2003,India,2003.384
B/BANGLADESH/2414/2005,India,2005.279
B/BANGLADESH/2492/2007,India,2007.479
B/BANGLADESH/3222/2007,India,2007.482
B/BANGLADESH/3333/2007,India,2007.627
B/BANGLADESH/4659/2007,India,2007.649
B/BANGLADESH/7110/2007,India,2007.575
