taxon_id,geography,date
417141_USA_030120,R,8
420793_USA_030220,T,7
417142_USA_022920,R,9
420792_USA_030220,U,7
420795_USA_030120,U,8
417140_USA_030120,R,8
420794_USA_030120,S,8
417145_USA_022920,R,9
417146_USA_022920,R,9
417143_USA_022920,R,9
420791_USA_022920,U,9
417144_USA_030220,R,7
420790_USA_030120,U,8
417149_USA_022820,R,10
417147_USA_022820,R,10
417148_USA_022820,R,10
420789_USA_030120,U,8
420786_USA_030320,U,6
420785_USA_030220,U,7
420788_USA_030420,U,5
420787_USA_030320,U,6
420784_USA_030220,S,7
417134_USA_022620,R,12
417135_USA_022220,R,16
417132_USA_030520,R,4
417139_USA_030120,R,8
417136_USA_030520,R,4
417137_USA_022120,R,17
417163_USA_030520,R,4
417164_USA_030720,R,2
417161_USA_022920,R,9
417162_USA_030120,R,8
417167_USA_030520,R,4
417165_USA_030820,R,1
417169_USA_030220,R,7
417160_USA_022920,R,9
417152_USA_022820,R,10
417153_USA_022920,R,9
417151_USA_022920,R,9
417156_USA_022820,R,10
417157_USA_030520,R,4
417154_USA_022820,R,10
417155_USA_022820,R,10
417158_USA_022820,R,10
417159_USA_022920,R,9
420797_USA_030120,S,8
420799_SouthKorea_022720,F,11
417185_HongKong_020920,E,29
417186_SouthAfrica_030720,J,2
417187_HongKong_020820,E,30
417188_HongKong_020820,E,30
417175_USA_030220,R,7
417172_USA_022920,R,9
417178_HongKong_012520,E,44
417170_USA_030220,R,7
417171_USA_030120,R,8
413600_Australia_030320,W,6
417197_HongKong_020920,E,29
417193_HongKong_020920,E,29
419709_Spain_030420,Q,5
419741_Australia_030820,W,1
419737_Australia_030720,W,2
419736_Australia_030720,W,2
417101_USA_022920,R,9
417102_USA_030420,R,5
417100_USA_022920,R,9
417105_USA_030320,R,6
417106_USA_030320,R,6
417103_USA_030520,R,4
417104_USA_030320,R,6
417107_USA_030520,R,4
417108_USA_022920,R,9
417120_USA_030420,R,5
417123_USA_030520,R,4
417124_USA_030520,R,4
417121_USA_030420,R,5
417122_USA_030520,R,4
417127_USA_030520,R,4
417128_USA_030520,R,4
417125_USA_030620,R,3
417126_USA_030520,R,4
417129_USA_030520,R,4
417112_USA_030220,R,7
417110_USA_030320,R,6
418442_China_012120,C,48
418441_China_012120,C,48
417116_USA_030420,R,5
417117_USA_030320,R,6
417114_USA_030520,R,4
417115_USA_030320,R,6
417118_USA_030320,R,6
417119_USA_030620,R,3
413580_Netherlands_030220,N,7
413582_Netherlands_030120,N,8
413583_Netherlands_030220,N,7
413584_Netherlands_030320,N,6
413587_Netherlands_030320,N,6
413589_Netherlands_030120,N,8
413572_Netherlands_030120,N,8
413573_Netherlands_030220,N,7
413577_Netherlands_030220,N,7
413579_Netherlands_030320,N,6
413590_Netherlands_030220,N,7
413591_Netherlands_030220,N,7
413592_Taiwan_030220,E,7
413593_Luxembourg_022920,O,9
413594_Australia_022820,W,10
413595_Australia_022820,W,10
413596_Australia_022820,W,10
413597_Australia_030220,W,7
413598_Australia_030420,W,5
413599_Australia_030420,W,5
417097_USA_022820,R,10
417098_USA_022920,R,9
417095_USA_022820,R,10
417096_USA_022720,R,11
417099_USA_022920,R,9
417093_USA_022820,R,10
417091_USA_030420,R,5
417092_USA_030420,R,5
413520_China_012820,D,41
413521_China_012820,D,41
413522_India_012720,H,42
413523_India_013120,H,38
413514_SouthKorea_022720,F,11
413515_SouthKorea_022720,F,11
413516_SouthKorea_022720,F,11
413518_China_012620,D,43
413519_China_012820,D,41
413513_SouthKorea_022720,F,11
413560_USA_022820,R,10
413563_USA_030320,R,6
413566_Netherlands_030220,N,7
413558_USA_022720,S,11
413555_UK_022720,M,11
413557_USA_022820,S,10
417260_UK_030520,M,4
417265_UK_030820,M,1
417268_UK_030520,M,4
417252_UK_030520,M,4
418581_Ireland_030820,M,1
418580_Ireland_030820,M,1
417255_UK_030420,M,5
417256_UK_030320,M,6
417258_UK_030620,M,3
417285_UK_030620,M,3
417282_UK_030520,M,4
417283_UK_030620,M,3
417289_UK_030620,M,3
417286_UK_030520,M,4
417280_UK_030720,M,2
417272_UK_030620,M,3
417276_UK_030720,M,2
417279_UK_030720,M,2
417293_UK_030820,M,1
417299_UK_030820,M,1
417297_UK_030620,M,3
417291_UK_030820,M,1
418510_China_012320,C,46
418514_China_012520,C,44
418513_China_012520,C,44
418512_China_012520,C,44
418511_China_012420,C,45
418516_Ireland_030620,M,3
418515_China_012520,C,44
418509_China_012320,C,46
406531_China_012220,B,47
418508_China_012320,C,46
406536_China_012220,B,47
406538_China_012320,B,46
406533_China_012220,B,47
406534_China_012220,B,47
406535_China_012220,B,47
418503_China_012220,C,47
419834_Australia_022320,W,15
418502_China_012220,C,47
419832_Australia_022120,W,17
419831_Australia_022120,W,17
418507_China_012120,C,48
418506_China_012120,C,48
418504_China_012120,C,48
419835_Australia_022420,W,14
417222_UK_030420,M,5
417226_UK_030220,M,7
417227_UK_030320,M,6
418548_Ireland_030620,M,3
407893_Australia_012420,W,45
407894_Australia_012820,W,41
407896_Australia_013020,W,39
417240_UK_030320,M,6
417244_UK_030320,M,6
417248_UK_030320,M,6
417246_UK_030320,M,6
406595_China_011620,B,53
406596_France_012320,N,46
406597_France_012320,N,46
406593_China_011320,B,56
