# We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
# All Submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus Name	Location	Collection Date	Originating Laboratory	Submitting Laboratory	Authors
EPI_ISL_417141	hCoV-19/USA/WA-S88/2020	North America / USA / Washington / King County	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420793	hCoV-19/USA/NY_2929/2020	North America / USA / New York	3/2/20	NYC Department of Health and Mental Hygiene	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417142	hCoV-19/USA/WA-S89/2020	North America / USA / Washington / Umatilla County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420792	hCoV-19/USA/NH_0008/2020	North America / USA / New Hampshire	3/2/20	NH Department of Health and Human Services Public Health Labs	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420795	hCoV-19/USA/RI_0556/2020	North America / USA / Rhode Island	3/1/20	RI State Health Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417140	hCoV-19/USA/WA-S87/2020	North America / USA / Washington / King County	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420794	hCoV-19/USA/OR_5430/2020	North America / USA / Oregon	3/1/20	Oregon State Public Health- Virology section	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417145	hCoV-19/USA/WA-S92/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417146	hCoV-19/USA/WA-S93/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417143	hCoV-19/USA/WA-S90/2020	North America / USA / Washington / Umatilla County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420791	hCoV-19/USA/NH_0004/2020	North America / USA / New Hampshire	2/29/20	NH Department of Health and Human Services Public Health Labs	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417144	hCoV-19/USA/WA-S91/2020	North America / USA / Washington / Snohomish County	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
